workDate,itemID,duration,rateApplied,payout,payType,projectName,status
"Apr 9, 2025","67f582b18941a3310d76d91a","41m 28s","$32.50/hr","$22.46","prepay","apron_evals","pending"
"Apr 9, 2025","67f58de4480a7124b8596ead","42m 50s","$32.50/hr","$23.21","prepay","apron_evals","pending"
"Apr 9, 2025","67f582456b4fe69878b5c71c","44m 1s","$32.50/hr","$23.85","prepay","apron_evals","pending"
"Apr 9, 2025","67f58db55fad700c392e7a1b","44m 49s","$32.50/hr","$24.28","prepay","apron_evals","pending"
"Apr 9, 2025","67f58b4c4f187eba9535e788","44m 51s","$32.50/hr","$24.30","prepay","apron_evals","pending"
"Apr 9, 2025","67f5822834b0e2ae58218c8d","1m 21s","$9.75/hr","$0.22","overtimePay","apron_evals","pending"
"Apr 9, 2025","67f5822834b0e2ae58218c8d","45m ","$32.50/hr","$24.38","prepay","apron_evals","pending"
"Apr 9, 2025","67f582c89a84e3447941687d","1m 58s","$9.75/hr","$0.32","overtimePay","apron_evals","pending"
"Apr 9, 2025","67f582c89a84e3447941687d","45m ","$32.50/hr","$24.38","prepay","apron_evals","pending"
"Apr 9, 2025","67f58161751b1995c54140ec","1m 53s","$9.75/hr","$0.31","overtimePay","apron_evals","pending"
"Apr 9, 2025","67f58161751b1995c54140ec","45m ","$32.50/hr","$24.38","prepay","apron_evals","pending"
"Apr 9, 2025","67f57d91f15b4a4ed1cbed12","44m 42s","$32.50/hr","$24.22","prepay","apron_evals","pending"
"Apr 9, 2025","67f58226b1b7c67b6750308e","43m 14s","$32.50/hr","$23.43","prepay","apron_evals","pending"
"Apr 9, 2025","67e8674af0bcf847fd9b3710","6m 8s","$9.75/hr","$1.00","overtimePay","hopper_v2","pending"
"Apr 9, 2025","67e8674af0bcf847fd9b3710","1h ","$32.50/hr","$32.50","prepay","hopper_v2","pending"
"Apr 9, 2025","67e867594050d24e892f2679","29s","$9.75/hr","$0.08","overtimePay","hopper_v2","pending"
"Apr 9, 2025","67e867594050d24e892f2679","1h ","$32.50/hr","$32.50","prepay","hopper_v2","pending"
"Apr 8, 2025","67e79541804106e1b8bbc05b","59m 48s","$32.50/hr","$32.40","prepay","hopper_v2","pending"
"Apr 8, 2025","67e7b17b9dc96f5b944b5477","58m 43s","$32.50/hr","$31.81","prepay","hopper_v2","pending"
